Nom;Surnom;Type;Age;Rôle;Secteur;Adresse;Latitude;Longitude;Apparence;Vêtements;Tic / Objet;Portrait;Famille;Branche;Parenté
Ahmed Benali;Le Dépanneur;Humain;42;Commerçant — dépanneur;La Baie;1310, Rue Victoria;48.345235;-70.879521;Barbe taillée;Polo dépanneur;4K caméras;portraits/14-ahmed-benali-web.webp;Benali;;Époux de Nadia
Alain Côté;;Humain;46;Facteur — Postes Canada;La Baie;160, Rue Victoria;48.3414;-70.8794;Uniforme, sacoche;Uniforme Postes Canada;Sac de courrier;portraits/109-alain-cote-web.webp;Côté;poste;Célibataire
Alex Tremblay;Le Fantôme;Humain;27;Informaticien — pirate informatique;La Baie;340, Boulevard de la Grande-Baie Nord;48.339796;-70.880742;Mince, capuche;Hoodie;5 écrans;portraits/28-alex-tremblay-web.webp;Tremblay;Alex;Fils de Sonia
Alexandre Lavoie;Le Cadet;Humain;16;Joueur — hockey juvénile;La Baie;147, Avenue Lavoie;48.32518;-70.8774;Joue ronde, premier duvet, cheveux sous la tuque;Veston de hockey par-dessus un hoodie;Bâton de hockey et patins éraflés;portraits/173-alexandre-lavoie-web.webp;Lavoie;JP;Fils cadet de Robert et Diane — petit frère de JP
Alexis Côté;Ficelle;Humain;31;Cambrioleur de rez-de-chaussée;La Baie;120, Rue Albert;48.3412;-70.8785;Mince, capuche;Hoodie noir, gants;Pied-de-biche pliable;portraits/114-alexis-cote-web.webp;Côté;ruelle;Célibataire — tourne autour du Spot
Alexis Gagnon;Lex;Humain;29;Joueur — hockey junior;La Baie;70, Rue des Bouleaux;48.3447;-70.898;Barbe, survêtement;Survêtement d’équipe;Bâton;portraits/132-alexis-gagnon-web.webp;Gagnon;hockey;Célibataire
Aline Tremblay;;Humain;72;Retraitée;La Baie;86, Rue Prince-Albert;48.3142;-70.861;Maigre, peignoir;Peignoir et cigarette;Clope à la fenêtre;portraits/162-aline-tremblay-web.webp;Tremblay;Gratien;Mère de Gratien Tremblay
Amina Traoré;;Humain;38;Pharmacienne;La Baie;500, Rue Victoria;48.343;-70.88;Foulard coloré, sourire;Blouse de pharmacie;Ordonnancier;portraits/83-amina-traore-web.webp;Traoré;;Célibataire
Amélie Martel;;Humain;42;Directrice — Tourisme Saguenay;La Baie;500, Rue des Croisières;48.3417;-70.879;Veste outdoor, sourire public;Veste tourisme;Dépliant du fjord;portraits/130-amelie-martel-web.webp;Martel;;Sœur de Julie Martel
Anik Desrosiers;La Veilleuse;Humain;35;Infirmière de nuit;La Baie;431, Rue Victoria;48.342658;-70.880466;Cheveux noirs;Crocs, manteau;Fume galerie 3h14;portraits/19-anik-desrosiers-web.webp;Desrosiers-Simard;;Conjointe de Marc-André
